ProdName , CATEGORY , Price , qty ,   date_sold 
"USB Cable", "Electronics",  7.99 , 3 , 2024-01-02
"usb cable", " electronics ",  7.99 , -1 , 2024-01-02
"Laptop Stand", "Office",  0 , 2 , 2024-01-03
"Laptop  Stand", "Office Supplies",  24.99 , , 2024-01-03
"Wireless Mouse", "Electronics", , 1 , 2024-01-04
"wireless  mouse ", " electronics", 15.99 , 1 , 2024-01-04
"Coffee Mug", "Kitchen",  5.49 , 10 , 2024-01-05
"coffee mug", " kitchen ", 5.49 , -3 , 2024-01-05
"Notebook", "Office",  3.25 , 25 , 2024-01-06
"Notebook ", "Office",  3.25 , 0 , 2024-01-06
"Desk Chair", "Office",  89.99 , 1 ,   
"Desk  Chair", " office",  89.99 , 1 , 2024-01-07
"Water Bottle", "Fitness",  12.00 , 4 , 2024-01-07
"water bottle ", " fitness ",  , 4 , 2024-01-07
"Pen Set", "Office",  4.50 , 12 , 2024-01-08
"Pen Set", "Office",  4.50 , 12 , 2024-01-08
"Standing Desk", "Office", 199.99 , 1 , 2024-01-08
"standing desk", " office furniture ", 199.99 , 1 , 2024-01-08
"Stapler", "Office",  6.25 , 5 , 2024-01-09
"stapler", " office ", -6.25 , 5 , 2024-01-09